start=1511112ms stop=1514405ms speaker_SPEAKER_10
start=1514711ms stop=1516001ms speaker_SPEAKER_10
start=1516001ms stop=1516935ms speaker_SPEAKER_05
start=1517988ms stop=1521146ms speaker_SPEAKER_02
start=1521553ms stop=1522996ms speaker_SPEAKER_02
start=1523115ms stop=1524524ms speaker_SPEAKER_04
start=1524847ms stop=1529601ms speaker_SPEAKER_04
start=1527529ms stop=1527699ms speaker_SPEAKER_02
start=1529329ms stop=1532724ms speaker_SPEAKER_05
start=1532996ms stop=1534711ms speaker_SPEAKER_04
start=1534779ms stop=1536477ms speaker_SPEAKER_05
start=1536867ms stop=1544745ms speaker_SPEAKER_03
start=1545050ms stop=1546799ms speaker_SPEAKER_14
start=1546731ms stop=1547580ms speaker_SPEAKER_03
start=1548667ms stop=1549040ms speaker_SPEAKER_03
start=1549040ms stop=1557054ms speaker_SPEAKER_04
start=1549091ms stop=1549227ms speaker_SPEAKER_03
start=1549227ms stop=1549278ms speaker_SPEAKER_14
start=1549278ms stop=1549295ms speaker_SPEAKER_03
start=1549295ms stop=1549329ms speaker_SPEAKER_06
start=1549329ms stop=1549431ms speaker_SPEAKER_14
start=1549431ms stop=1549499ms speaker_SPEAKER_06
start=1549499ms stop=1550857ms speaker_SPEAKER_14
start=1550857ms stop=1550891ms speaker_SPEAKER_06
start=1555033ms stop=1555560ms speaker_SPEAKER_06
start=1557054ms stop=1557190ms speaker_SPEAKER_14
start=1557835ms stop=1557852ms speaker_SPEAKER_14
start=1558005ms stop=1558039ms speaker_SPEAKER_14
start=1558293ms stop=1560789ms speaker_SPEAKER_14
start=1560789ms stop=1561179ms speaker_SPEAKER_10
start=1561179ms stop=1561196ms speaker_SPEAKER_14
start=1561383ms stop=1564762ms speaker_SPEAKER_10
start=1565305ms stop=1566782ms speaker_SPEAKER_10
start=1567342ms stop=1569363ms speaker_SPEAKER_03
start=1569702ms stop=1571502ms speaker_SPEAKER_03
start=1572028ms stop=1573777ms speaker_SPEAKER_03
start=1574083ms stop=1579074ms speaker_SPEAKER_04
start=1579108ms stop=1585135ms speaker_SPEAKER_04
start=1585696ms stop=1589006ms speaker_SPEAKER_04
start=1586256ms stop=1586511ms speaker_SPEAKER_06
start=1589193ms stop=1590297ms speaker_SPEAKER_04
start=1590517ms stop=1591451ms speaker_SPEAKER_04
start=1591808ms stop=1592657ms speaker_SPEAKER_04
start=1593488ms stop=1594219ms speaker_SPEAKER_04
start=1594694ms stop=1596816ms speaker_SPEAKER_04
start=1596816ms stop=1598056ms speaker_SPEAKER_03
start=1598056ms stop=1598089ms speaker_SPEAKER_14
start=1598089ms stop=1598123ms speaker_SPEAKER_04
start=1598123ms stop=1598140ms speaker_SPEAKER_14
start=1598140ms stop=1599465ms speaker_SPEAKER_04
start=1599465ms stop=1599634ms speaker_SPEAKER_14
start=1599634ms stop=1599753ms speaker_SPEAKER_03
