start=2469380ms stop=2472504ms speaker_SPEAKER_01
start=2472826ms stop=2474100ms speaker_SPEAKER_01
start=2474490ms stop=2478650ms speaker_SPEAKER_01
start=2478650ms stop=2489634ms speaker_SPEAKER_00
start=2478667ms stop=2479108ms speaker_SPEAKER_01
start=2483981ms stop=2483998ms speaker_SPEAKER_01
start=2483998ms stop=2484337ms speaker_SPEAKER_06
start=2488803ms stop=2488820ms speaker_SPEAKER_01
start=2488820ms stop=2489210ms speaker_SPEAKER_06
start=2489872ms stop=2490195ms speaker_SPEAKER_06
start=2490568ms stop=2525118ms speaker_SPEAKER_00
start=2498327ms stop=2498582ms speaker_SPEAKER_06
start=2525118ms stop=2525424ms speaker_SPEAKER_01
start=2525424ms stop=2526001ms speaker_SPEAKER_00
start=2526001ms stop=2539108ms speaker_SPEAKER_01
start=2539159ms stop=2540806ms speaker_SPEAKER_01
start=2541044ms stop=2565050ms speaker_SPEAKER_01
start=2556154ms stop=2556799ms speaker_SPEAKER_00
start=2562232ms stop=2562674ms speaker_SPEAKER_00
start=2564422ms stop=2580500ms speaker_SPEAKER_00
start=2565118ms stop=2565271ms speaker_SPEAKER_01
start=2580500ms stop=2580823ms speaker_SPEAKER_01
start=2580823ms stop=2580993ms speaker_SPEAKER_00
start=2580993ms stop=2582945ms speaker_SPEAKER_01
start=2583149ms stop=2597699ms speaker_SPEAKER_01
start=2597699ms stop=2606986ms speaker_SPEAKER_00
start=2602979ms stop=2603981ms speaker_SPEAKER_01
start=2607190ms stop=2607207ms speaker_SPEAKER_00
start=2607207ms stop=2608327ms speaker_SPEAKER_06
start=2608327ms stop=2608344ms speaker_SPEAKER_01
start=2608718ms stop=2640348ms speaker_SPEAKER_01
start=2641468ms stop=2665356ms speaker_SPEAKER_01
start=2665458ms stop=2668242ms speaker_SPEAKER_01
start=2668463ms stop=2679855ms speaker_SPEAKER_01
start=2679787ms stop=2683998ms speaker_SPEAKER_00
start=2683998ms stop=2690993ms speaker_SPEAKER_01
start=2686375ms stop=2687139ms speaker_SPEAKER_00
start=2690993ms stop=2702198ms speaker_SPEAKER_00
start=2699363ms stop=2699719ms speaker_SPEAKER_01
start=2703047ms stop=2703353ms speaker_SPEAKER_00
start=2704320ms stop=2715050ms speaker_SPEAKER_00
start=2715050ms stop=2723760ms speaker_SPEAKER_01
start=2717988ms stop=2718633ms speaker_SPEAKER_00
start=2724083ms stop=2725492ms speaker_SPEAKER_01
start=2725865ms stop=2728853ms speaker_SPEAKER_01
start=2729261ms stop=2748769ms speaker_SPEAKER_01
start=2746341ms stop=2746646ms speaker_SPEAKER_00
start=2749040ms stop=2780738ms speaker_SPEAKER_00
start=2759159ms stop=2759584ms speaker_SPEAKER_06
start=2780738ms stop=2780755ms speaker_SPEAKER_01
start=2780993ms stop=2784219ms speaker_SPEAKER_01
start=2784558ms stop=2797716ms speaker_SPEAKER_01
start=2793115ms stop=2793149ms speaker_SPEAKER_00
start=2793149ms stop=2793828ms speaker_SPEAKER_06
start=2798005ms stop=2881791ms speaker_SPEAKER_01
start=2870772ms stop=2870976ms speaker_SPEAKER_03
start=2881791ms stop=2892130ms speaker_SPEAKER_00
start=2892130ms stop=2892368ms speaker_SPEAKER_02
start=2892368ms stop=2902249ms speaker_SPEAKER_00
start=2902249ms stop=2944643ms speaker_SPEAKER_01
start=2902385ms stop=2903047ms speaker_SPEAKER_00
start=2944915ms stop=2956222ms speaker_SPEAKER_01
start=2956443ms stop=2967308ms speaker_SPEAKER_00
start=2967512ms stop=3003998ms speaker_SPEAKER_00
start=3003998ms stop=3008853ms speaker_SPEAKER_01
start=3010246ms stop=3056001ms speaker_SPEAKER_00
start=3056001ms stop=3064303ms speaker_SPEAKER_01
start=3058887ms stop=3059601ms speaker_SPEAKER_06
start=3064609ms stop=3078616ms speaker_SPEAKER_00
start=3078039ms stop=3099601ms speaker_SPEAKER_01
start=3099787ms stop=3113234ms speaker_SPEAKER_00
start=3113488ms stop=3116358ms speaker_SPEAKER_01
start=3116612ms stop=3119567ms speaker_SPEAKER_01
start=3119855ms stop=3122589ms speaker_SPEAKER_01
start=3122945ms stop=3126103ms speaker_SPEAKER_01
start=3126103ms stop=3126494ms speaker_SPEAKER_00
start=3126494ms stop=3127003ms speaker_SPEAKER_01
start=3127003ms stop=3145203ms speaker_SPEAKER_00
start=3145203ms stop=3152164ms speaker_SPEAKER_01
start=3152487ms stop=3187393ms speaker_SPEAKER_00
start=3155186ms stop=3155509ms speaker_SPEAKER_01
start=3160331ms stop=3160755ms speaker_SPEAKER_06
start=3184728ms stop=3185424ms speaker_SPEAKER_01
start=3187614ms stop=3187920ms speaker_SPEAKER_01
start=3188039ms stop=3194439ms speaker_SPEAKER_01
