start=2557190ms stop=2560976ms speaker_SPEAKER_05
start=2561247ms stop=2563726ms speaker_SPEAKER_05
start=2564015ms stop=2565288ms speaker_SPEAKER_05
start=2564813ms stop=2566409ms speaker_SPEAKER_02
start=2566069ms stop=2568684ms speaker_SPEAKER_05
start=2568955ms stop=2569668ms speaker_SPEAKER_05
start=2570449ms stop=2584354ms speaker_SPEAKER_05
start=2584745ms stop=2592504ms speaker_SPEAKER_02
start=2592385ms stop=2592877ms speaker_SPEAKER_05
start=2592996ms stop=2600500ms speaker_SPEAKER_05
start=2599736ms stop=2600331ms speaker_SPEAKER_07
start=2600704ms stop=2607546ms speaker_SPEAKER_05
start=2607173ms stop=2608497ms speaker_SPEAKER_02
start=2608921ms stop=2609940ms speaker_SPEAKER_02
start=2609940ms stop=2609957ms speaker_SPEAKER_05
start=2609957ms stop=2609991ms speaker_SPEAKER_02
start=2610976ms stop=2612487ms speaker_SPEAKER_02
start=2612724ms stop=2619533ms speaker_SPEAKER_02
start=2620110ms stop=2624507ms speaker_SPEAKER_02
start=2623488ms stop=2623505ms speaker_SPEAKER_04
start=2623505ms stop=2624100ms speaker_SPEAKER_05
start=2624100ms stop=2624117ms speaker_SPEAKER_04
start=2624660ms stop=2634847ms speaker_SPEAKER_02
start=2624779ms stop=2624932ms speaker_SPEAKER_05
start=2625441ms stop=2627937ms speaker_SPEAKER_05
start=2633981ms stop=2635271ms speaker_SPEAKER_05
start=2635271ms stop=2639142ms speaker_SPEAKER_02
start=2635645ms stop=2635899ms speaker_SPEAKER_05
start=2635899ms stop=2635950ms speaker_SPEAKER_07
start=2636748ms stop=2639499ms speaker_SPEAKER_05
start=2639736ms stop=2643896ms speaker_SPEAKER_05
start=2644202ms stop=2650653ms speaker_SPEAKER_02
